iter	Passed	Remaining
1324	8251	614539
1325	8258	614544
1326	8264	614545
1327	8270	614518
1328	8277	614528
1329	8283	614501
1330	8289	614491
1331	8295	614484
1332	8301	614500
1333	8308	614525
1334	8314	614505
1335	8320	614496
1336	8327	614502
1337	8333	614486
1338	8339	614504
1339	8346	614500
1340	8351	614452
1341	8357	614443
1342	8364	614422
1343	8369	614377
1344	8375	614353
1345	8381	614324
1346	8387	614301
1347	8393	614285
1348	8400	614293
1349	8406	614286
1350	8412	614261
1351	8418	614242
1352	8424	614254
1353	8430	614232
1354	8437	614240
1355	8443	614230
1356	8449	614213
1357	8455	614182
1358	8461	614166
1359	8467	614138
1360	8473	614149
1361	8480	614152
1362	8486	614162
1363	8492	614155
1364	8499	614139
1365	8504	614110
1366	8511	614123
1367	8517	614125
1368	8524	614163
1369	8531	614173
1370	8537	614148
1371	8542	614119
1372	8549	614102
1373	8555	614105
1374	8561	614093
1375	8567	614070
1376	8573	614067
1377	8579	614058
1378	8586	614080
1379	8593	614100
1380	8599	614077
1381	8605	614095
1382	8612	614105
1383	8618	614108
1384	8626	614215
1385	8632	614205
1386	8638	614185
1387	8645	614205
1388	8651	614211
1389	8658	614242
1390	8664	614224
1391	8670	614216
1392	8676	614203
1393	8682	614186
1394	8688	614165
1395	8695	614174
1396	8701	614170
1397	8707	614159
1398	8713	614135
1399	8720	614145
1400	8726	614141
1401	8732	614137
1402	8739	614148
1403	8745	614152
1404	8751	614129
1405	8757	614114
1406	8763	614095
1407	8769	614075
1408	8776	614090
1409	8782	614091
1410	8789	614107
1411	8795	614107
1412	8801	614126
1413	8808	614111
1414	8814	614089
1415	8820	614101
1416	8827	614109
1417	8833	614111
1418	8839	614127
1419	8846	614125
1420	8852	614107
1421	8858	614126
1422	8865	614127
1423	8871	614146
1424	8878	614169
1425	8884	614139
1426	8890	614129
1427	8897	614158
1428	8903	614159
1429	8909	614159
1430	8916	614153
1431	8922	614143
1432	8928	614111
1433	8934	614123
1434	8940	614108
1435	8946	614096
1436	8953	614108
1437	8959	614091
1438	8965	614066
1439	8971	614058
1440	8977	614035
1441	8983	614026
1442	8989	613988
1443	8995	613972
1444	9001	613961
1445	9008	613955
1446	9014	613957
1447	9020	613956
1448	9026	613931
1449	9032	613910
1450	9038	613900
1451	9045	613895
1452	9051	613885
1453	9057	613870
1454	9063	613862
1455	9069	613837
1456	9075	613839
1457	9082	613850
1458	9088	613836
1459	9094	613827
1460	9101	613850
1461	9107	613852
1462	9114	613855
1463	9120	613863
1464	9126	613868
1465	9133	613869
1466	9139	613879
1467	9145	613861
1468	9151	613824
1469	9158	613840
1470	9164	613841
1471	9170	613825
1472	9176	613797
1473	9182	613775
1474	9188	613761
1475	9195	613776
1476	9200	613737
1477	9206	613727
1478	9213	613751
1479	9220	613757
1480	9226	613780
1481	9233	613792
1482	9239	613786
1483	9245	613793
1484	9252	613791
1485	9257	613755
1486	9263	613730
1487	9270	613714
1488	9276	613696
1489	9282	613696
1490	9288	613713
1491	9295	613720
1492	9301	613727
1493	9307	613712
1494	9314	613740
1495	9321	613753
1496	9327	613752
1497	9333	613728
1498	9339	613734
1499	9346	613727
1500	9352	613735
1501	9358	613712
1502	9364	613700
1503	9371	613710
1504	9377	613706
1505	9383	613716
1506	9390	613737
1507	9397	613750
1508	9403	613748
1509	9409	613729
1510	9415	613733
1511	9422	613732
1512	9428	613712
1513	9434	613722
1514	9440	613718
1515	9447	613715
1516	9453	613747
1517	9460	613749
1518	9466	613727
1519	9472	613750
1520	9479	613749
1521	9485	613728
1522	9491	613710
1523	9497	613690
1524	9503	613684
1525	9510	613706
1526	9516	613696
1527	9522	613686
1528	9529	613691
1529	9535	613686
1530	9541	613704
1531	9548	613713
1532	9554	613725
1533	9560	613706
1534	9567	613712
1535	9573	613716
1536	9579	613703
1537	9586	613713
1538	9592	613707
1539	9599	613717
1540	9605	613717
1541	9611	613720
1542	9617	613703
1543	9624	613704
1544	9630	613703
1545	9636	613691
1546	9642	613675
1547	9650	613741
1548	9656	613735
1549	9662	613721
1550	9668	613719
1551	9675	613734
1552	9681	613738
1553	9688	613736
1554	9694	613751
1555	9701	613762
1556	9707	613756
1557	9713	613767
1558	9720	613760
1559	9726	613742
1560	9732	613722
1561	9738	613713
1562	9744	613683
1563	9750	613680
1564	9756	613689
1565	9763	613714
1566	9769	613701
1567	9776	613702
1568	9782	613689
1569	9788	613704
1570	9795	613708
1571	9802	613742
1572	9808	613730
1573	9814	613729
1574	9820	613709
1575	9826	613699
1576	9833	613701
1577	9839	613707
1578	9845	613705
1579	9852	613696
1580	9858	613717
1581	9864	613705
1582	9871	613713
1583	9877	613696
1584	9884	613713
1585	9890	613708
1586	9896	613720
1587	9903	613734
1588	9909	613725
1589	9915	613722
1590	9922	613734
1591	9928	613726
1592	9934	613716
1593	9941	613719
1594	9947	613729
1595	9954	613739
1596	9960	613761
1597	9966	613735
1598	9972	613723
1599	9979	613710
1600	9984	613684
1601	9991	613671
1602	9996	613644
1603	10002	613620
1604	10009	613623
1605	10015	613622
1606	10021	613611
1607	10028	613617
1608	10033	613581
1609	10040	613579
1610	10046	613579
1611	10052	613573
1612	10059	613572
1613	10065	613570
1614	10071	613555
1615	10078	613576
1616	10084	613593
1617	10090	613577
1618	10097	613583
1619	10103	613582
1620	10109	613576
1621	10116	613575
1622	10122	613576
1623	10128	613559
1624	10134	613549
1625	10141	613556
1626	10147	613536
1627	10153	613527
1628	10159	613515
1629	10166	613524
1630	10172	613517
1631	10178	613491
1632	10184	613499
1633	10191	613499
1634	10197	613501
1635	10203	613488
1636	10209	613483
1637	10216	613490
1638	10222	613509
1639	10229	613505
1640	10235	613486
1641	10241	613460
1642	10247	613471
1643	10253	613465
1644	10259	613443
1645	10265	613417
1646	10271	613387
1647	10277	613385
1648	10284	613405
1649	10291	613423
1650	10297	613411
1651	10303	613400
1652	10309	613375
1653	10315	613358
1654	10321	613340
1655	10327	613334
1656	10334	613339
1657	10340	613333
1658	10347	613353
1659	10353	613340
1660	10359	613313
1661	10365	613303
1662	10371	613308
1663	10377	613299
1664	10383	613275
1665	10390	613264
1666	10395	613237
1667	10402	613257
1668	10408	613251
1669	10415	613256
1670	10421	613273
1671	10427	613251
1672	10434	613244
1673	10440	613259
1674	10446	613235
